timestamp,avg_players,peak_players
2012-07-01 00:00:00,1642,1642
2012-08-01 00:00:00,52261,52261
2012-09-01 00:00:00,36057,36057
2012-10-01 00:00:00,20850,20850
2012-11-01 00:00:00,50533,50533
2012-12-01 00:00:00,27553,27553
2013-01-01 00:00:00,31359,31359
2013-02-01 00:00:00,35238,35238
2013-03-01 00:00:00,32166,32166
2013-04-01 00:00:00,31966,31966
2013-05-01 00:00:00,53379,53379
2013-06-01 00:00:00,33700,33700
2013-07-01 00:00:00,42149,42149
2013-08-01 00:00:00,50511,50511
2013-09-01 00:00:00,52052,52052
2013-10-01 00:00:00,53263,53263
2013-11-01 00:00:00,92279,92279
2013-12-01 00:00:00,96298,96298
2014-01-01 00:00:00,102084,102084
2014-02-01 00:00:00,119764,119764
2014-03-01 00:00:00,164495,164495
2014-04-01 00:00:00,142526,142526
2014-05-01 00:00:00,170137,170137
2014-06-01 00:00:00,164134,164134
2014-07-01 00:00:00,193613,193613
2014-08-01 00:00:00,277192,277192
2014-09-01 00:00:00,242494,242494
2014-10-01 00:00:00,260613,260613
2014-11-01 00:00:00,348018,348018
2014-12-01 00:00:00,367634,367634
2015-01-01 00:00:00,443188,443188
2015-02-01 00:00:00,455508,455508
2015-03-01 00:00:00,595439,595439
2015-04-01 00:00:00,568556,568556
2015-05-01 00:00:00,677701,677701
2015-06-01 00:00:00,610401,610401
2015-07-01 00:00:00,541181,541181
2015-08-01 00:00:00,819902,819902
2015-09-01 00:00:00,725939,725939
2015-10-01 00:00:00,732093,732093
2015-11-01 00:00:00,786707,786707
2015-12-01 00:00:00,823694,823694
2016-01-01 00:00:00,667432,667432
2016-02-01 00:00:00,738969,738969
2016-03-01 00:00:00,737599,737599
2016-04-01 00:00:00,850485,850485
2016-05-01 00:00:00,668612,668612
2016-06-01 00:00:00,579110,579110
2016-07-01 00:00:00,636056,636056
2016-08-01 00:00:00,599095,599095
2016-09-01 00:00:00,638360,638360
2016-10-01 00:00:00,661985,661985
2016-11-01 00:00:00,627124,627124
2016-12-01 00:00:00,662460,662460
2017-01-01 00:00:00,814616,814616
2017-02-01 00:00:00,744468,744468
2017-03-01 00:00:00,742356,742356
2017-04-01 00:00:00,709841,709841
2017-05-01 00:00:00,692966,692966
2017-06-01 00:00:00,614621,614621
2017-07-01 00:00:00,624785,624785
2017-08-01 00:00:00,595781,595781
2017-09-01 00:00:00,665371,665371
2017-10-01 00:00:00,639968,639968
2017-11-01 00:00:00,601881,601881
2017-12-01 00:00:00,598405,598405
2018-01-01 00:00:00,715850,715850
2018-02-01 00:00:00,686588,686588
2018-03-01 00:00:00,672502,672502
2018-04-01 00:00:00,523262,523262
2018-05-01 00:00:00,454481,454481
2018-06-01 00:00:00,420261,420261
2018-07-01 00:00:00,426008,426008
2018-08-01 00:00:00,454370,454370
2018-09-01 00:00:00,583029,583029
2018-10-01 00:00:00,565968,565968
2018-11-01 00:00:00,546031,546031
2018-12-01 00:00:00,746548,746548
2019-01-01 00:00:00,684511,684511
2019-02-01 00:00:00,654069,654069
2019-03-01 00:00:00,680071,680071
2019-04-01 00:00:00,621614,621614
2019-05-01 00:00:00,588453,588453
2019-06-01 00:00:00,587724,587724
2019-07-01 00:00:00,578933,578933
2019-08-01 00:00:00,647461,647461
2019-09-01 00:00:00,720052,720052
2019-10-01 00:00:00,747937,747937
2019-11-01 00:00:00,758412,758412
2019-12-01 00:00:00,767060,767060
2020-01-01 00:00:00,817229,817229
2020-02-01 00:00:00,916996,916996
2020-03-01 00:00:00,1145972,1145972
2020-04-01 00:00:00,1305714,1305714
2020-05-01 00:00:00,1193359,1193359
2020-06-01 00:00:00,1009467,1009467
2020-07-01 00:00:00,857560,857560
2020-08-01 00:00:00,925348,925348
2020-09-01 00:00:00,977769,977769
2020-10-01 00:00:00,943876,943876
2020-11-01 00:00:00,1037464,1037464
2020-12-01 00:00:00,1164396,1164396
2021-01-01 00:00:00,1124553,1124553
2021-02-01 00:00:00,1123485,1123485
2021-03-01 00:00:00,1198581,1198581
2021-04-01 00:00:00,1148077,1148077
2021-05-01 00:00:00,1087197,1087197
2021-06-01 00:00:00,929940,929940
2021-07-01 00:00:00,763523,763523
2021-08-01 00:00:00,802544,802544
2021-09-01 00:00:00,942519,942519
2021-10-01 00:00:00,864966,864966
2021-11-01 00:00:00,935593,935593
2021-12-01 00:00:00,950586,950586
2022-01-01 00:00:00,991625,991625
2022-02-01 00:00:00,995163,995163
2022-03-01 00:00:00,987993,987993
2022-04-01 00:00:00,1013237,1013237
2022-05-01 00:00:00,923996,923996
2022-06-01 00:00:00,906670,906670
2022-07-01 00:00:00,928329,928329
2022-08-01 00:00:00,1039889,1039889
2022-09-01 00:00:00,1100366,1100366
2022-10-01 00:00:00,1078860,1078860
2022-11-01 00:00:00,1129095,1129095
2022-12-01 00:00:00,1065079,1065079
2023-01-01 00:00:00,1199684,1199684
2023-02-01 00:00:00,1354248,1354248
2023-03-01 00:00:00,1519457,1519457
2023-04-01 00:00:00,1510231,1510231
2023-05-01 00:00:00,1802853,1802853
2023-06-01 00:00:00,1665869,1665869
2023-07-01 00:00:00,1222913,1222913
2023-08-01 00:00:00,1369511,1369511
2023-09-01 00:00:00,1556326,1556326
2023-10-01 00:00:00,1364902,1364902
2023-11-01 00:00:00,1161043,1161043
2023-12-01 00:00:00,1248217,1248217
2024-01-01 00:00:00,1277907,1277907
2024-02-01 00:00:00,1347519,1347519
2024-03-01 00:00:00,1521796,1521796
2024-04-01 00:00:00,1618685,1618685
2024-05-01 00:00:00,1614925,1614925
2024-06-01 00:00:00,1510840,1510840
2024-07-01 00:00:00,1342171,1342171
2024-08-01 00:00:00,1425958,1425958
2024-09-01 00:00:00,1473144,1473144
2024-09-24 00:00:00,1345134,1345134
2024-09-25 00:00:00,1337852,1337852
2024-09-26 00:00:00,1269659,1269659
2024-09-27 00:00:00,1349267,1349267
2024-09-28 00:00:00,1351900,1351900
2024-09-29 00:00:00,1377556,1377556
2024-09-30 00:00:00,1282822,1282822
2024-10-01 00:00:00,1181540,1181540
2024-10-02 00:00:00,1203757,1203757
2024-10-03 00:00:00,1317481,1317481
2024-10-04 00:00:00,1316149,1316149
2024-10-05 00:00:00,1356166,1356166
2024-10-06 00:00:00,1449701,1449701
2024-10-07 00:00:00,1363872,1363872
2024-10-08 00:00:00,1394652,1394652
2024-10-09 00:00:00,1387536,1387536
2024-10-10 00:00:00,1327941,1327941
2024-10-11 00:00:00,1359212,1359212
2024-10-12 00:00:00,1484045,1484045
2024-10-13 00:00:00,1456433,1456433
2024-10-14 00:00:00,1350044,1350044
2024-10-15 00:00:00,1340689,1340689
2024-10-16 00:00:00,1363774,1363774
2024-10-17 00:00:00,1338261,1338261
2024-10-18 00:00:00,1381046,1381046
2024-10-19 00:00:00,1433218,1433218
2024-10-20 00:00:00,1442806,1442806
2024-10-21 00:00:00,1355963,1355963
2024-10-22 00:00:00,1362014,1362014
2024-10-23 00:00:00,1394521,1394521
2024-10-24 00:00:00,1333709,1333709
2024-10-25 00:00:00,1354444,1354444
2024-10-26 00:00:00,1362168,1362168
2024-10-27 00:00:00,1359073,1359073
2024-10-28 00:00:00,1290730,1290730
2024-10-29 00:00:00,1278907,1278907
2024-10-30 00:00:00,1288761,1288761
2024-10-31 00:00:00,1282491,1282491
2024-11-01 00:00:00,1304013,1304013
2024-11-02 00:00:00,1279785,1279785
2024-11-03 00:00:00,1406484,1406484
2024-11-04 00:00:00,1325387,1325387
2024-11-05 00:00:00,1286494,1286494
2024-11-06 00:00:00,1327574,1327574
2024-11-07 00:00:00,1249266,1249266
2024-11-08 00:00:00,1343844,1343844
2024-11-09 00:00:00,1395333,1395333
2024-11-10 00:00:00,1409594,1409594
2024-11-11 00:00:00,1346798,1346798
2024-11-12 00:00:00,1349935,1349935
2024-11-13 00:00:00,1369364,1369364
2024-11-14 00:00:00,1418430,1418430
2024-11-15 00:00:00,1429481,1429481
2024-11-16 00:00:00,1490306,1490306
2024-11-17 00:00:00,1508761,1508761
2024-11-18 00:00:00,1404536,1404536
2024-11-19 00:00:00,1382136,1382136
2024-11-20 00:00:00,1467418,1467418
2024-11-21 00:00:00,1411595,1411595
2024-11-22 00:00:00,1443038,1443038
2024-11-22 23:02:02,786304,786304
2024-11-23 00:02:01,689627,689627
2024-11-23 01:01:40,634077,634077
2024-11-23 02:01:12,629712,629712
2024-11-23 03:01:07,666200,666200
2024-11-23 04:02:06,676120,676120
2024-11-23 05:01:11,741473,741473
2024-11-23 06:01:34,819340,819340
2024-11-23 07:01:59,891843,891843
